"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"22-Oct-2014",7997.8,8005,7974.55,7995.9,151104463,7301.77
"23-Oct-2014",8027.7,8031.75,8008.85,8014.55,19640498,915.37
"27-Oct-2014",8064.35,8064.4,7985.65,7991.7,132824881,6511.8
"28-Oct-2014",8002.4,8037.8,7995.05,8027.6,124058566,6993.84
"29-Oct-2014",8077.05,8097.95,8052.25,8090.45,148313096,7406
"30-Oct-2014",8085.2,8181.55,8085.2,8169.2,205666559,11023.46
"31-Oct-2014",8200.8,8330.75,8198.05,8322.2,176165086,9450.53
"03-Nov-2014",8348.15,8350.6,8297.65,8324.15,141090166,7439.54
"05-Nov-2014",8351.25,8365.55,8323.5,8338.3,161614922,9021.74
"07-Nov-2014",8331.85,8360.35,8290.25,8337,153433693,11379.2
"10-Nov-2014",8337.8,8383.05,8304.45,8344.25,130749013,6932.28
"11-Nov-2014",8354.1,8378.7,8321.85,8362.65,122010840,6559.73
"12-Nov-2014",8378.9,8415.05,8370.5,8383.3,125243330,6535.31
"13-Nov-2014",8405.25,8408,8320.35,8357.85,127361048,6511.91
"14-Nov-2014",8360.7,8400.65,8346.8,8389.9,146768580,7849.19
"17-Nov-2014",8378.4,8438.1,8349.1,8430.75,113879138,7270.5
"18-Nov-2014",8441.25,8454.5,8407.25,8425.9,134678948,7323.18
"19-Nov-2014",8440.65,8455.65,8360.5,8382.3,125399132,6997.58
"20-Nov-2014",8406.5,8410.85,8353.15,8401.9,122775989,6218.34
"21-Nov-2014",8408.2,8489.8,8398.6,8477.35,137015453,7889.99
"24-Nov-2014",8490.95,8534.65,8490.8,8530.15,140657508,7180.3
"25-Nov-2014",8530.8,8535.35,8429.45,8463.1,271914173,12210.62
"26-Nov-2014",8450.3,8500.3,8438.65,8475.75,151922494,7123.76
"27-Nov-2014",8477.8,8506.75,8456.35,8494.2,194298604,9556.05
"28-Nov-2014",8516.8,8617,8516.25,8588.25,197214619,10053.47
"01-Dec-2014",8605.1,8623,8545.15,8555.9,151990638,8565.14
"02-Dec-2014",8535.45,8560.2,8504.65,8524.7,137386984,6753.13
"03-Dec-2014",8528.7,8546.95,8508.35,8537.65,153199341,7664.86
"04-Dec-2014",8582.4,8626.95,8526.4,8564.4,143477230,6687.99
"05-Dec-2014",8584.25,8588.35,8523.9,8538.3,143345553,6452.4
"08-Dec-2014",8538.65,8546.35,8432.25,8438.25,163819529,13929.39
